nodi,prim,kruskaluf,kruskal,mst
10,0,0,0,29316
10,0,0,0,2126
10,0,0,0,-44765
10,0,0,0,20360
20,0,0,0,-32021
20,0,0,0,18596
20,0,0,0,-42560
20,0,0,0,-37205
40,0,0,0,-122078
40,0,0,0,-37021
40,0,0,0,-79570
40,0,0,0,-79741
80,0,0,0,-139926
80,0,0,0,-211345
80,0,0,0,-110571
80,0,0,0,-233320
100,0,0,0,-141960
100,0,0,0,-271743
100,0,0,0,-288906
100,0,0,0,-232178
200,0,0,16,-510185
200,0,0,0,-515136
200,0,0,0,-444357
200,0,0,0,-393278
400,0,0,0,-1122919
400,0,0,31,-788168
400,0,0,0,-895704
400,0,0,0,-733645
800,0,16,31,-1541291
800,0,0,32,-1578294
800,16,0,31,-1675534
800,0,0,15,-1652119
1000,15,0,32,-2091110
1000,0,0,32,-1934208
1000,0,0,31,-2229428
1000,0,0,31,-2359192
2000,0,0,109,-4811598
2000,0,16,93,-4739387
2000,0,0,109,-4717250
2000,0,0,125,-4537267
4000,0,16,423,-8722212
4000,0,0,437,-9314968
4000,15,0,412,-9845767
4000,16,0,439,-8681447
8000,16,15,1722,-17844628
8000,16,0,1713,-18800966
8000,15,15,1731,-18741474
8000,16,0,1753,-18190442
10000,16,0,2637,-22086729
10000,31,16,2601,-22338561
10000,15,0,2563,-22581384
10000,16,0,2638,-22606313
20000,63,16,12976,-45978687
20000,65,0,13002,-45195405
20000,62,16,13009,-47854708
20000,63,0,12427,-46420311
40000,189,16,81522,-92003321
40000,203,15,81525,-94397064
40000,203,19,84400,-88783643
40000,189,15,81242,-93017025
80000,703,46,459713,-186834082
80000,694,44,549392,-185997521
80000,697,47,545050,-182065015
80000,687,31,526711,-180803872
100000,1045,125,955113,-230698391
100000,1110,63,925063,-230168572
100000,1137,59,872704,-231393935
100000,1077,47,869876,-231011693
