nodi,tempo,mst
10,0,29316
10,0,2126
10,0,-44765
10,0,20360
20,0,-32021
20,0,18596
20,0,-42560
20,0,-37205
40,0,-122078
40,0,-37021
40,0,-79570
40,0,-79741
80,0,-139926
80,0,-211345
80,0,-110571
80,0,-233320
100,0,-141960
100,0,-271743
100,0,-288906
100,0,-232178
200,16,-510185
200,0,-515136
200,0,-444357
200,0,-393278
400,0,-1122919
400,31,-788168
400,0,-895704
400,0,-733645
800,31,-1541291
800,32,-1578294
800,31,-1675534
800,15,-1652119
1000,32,-2091110
1000,32,-1934208
1000,31,-2229428
1000,31,-2359192
2000,109,-4811598
2000,93,-4739387
2000,109,-4717250
2000,125,-4537267
4000,423,-8722212
4000,437,-9314968
4000,412,-9845767
4000,439,-8681447
8000,1722,-17844628
8000,1713,-18800966
8000,1731,-18741474
8000,1753,-18190442
10000,2637,-22086729
10000,2601,-22338561
10000,2563,-22581384
10000,2638,-22606313
20000,12976,-45978687
20000,13002,-45195405
20000,13009,-47854708
20000,12427,-46420311
40000,81522,-92003321
40000,81525,-94397064
40000,84400,-88783643
40000,81242,-93017025
80000,459713,-186834082
80000,549392,-185997521
80000,545050,-182065015
80000,526711,-180803872
100000,955113,-230698391
100000,925063,-230168572
100000,872704,-231393935
100000,869876,-231011693
