nodi,tempo,mst
10,0,29316
10,0,2126
10,0,-44765
10,0,20360
20,0,-32021
20,0,18596
20,0,-42560
20,0,-37205
40,0,-122078
40,0,-37021
40,0,-79570
40,0,-79741
80,0,-139926
80,0,-211345
80,0,-110571
80,0,-233320
100,0,-141960
100,0,-271743
100,0,-288906
100,0,-232178
200,0,-510185
200,0,-515136
200,0,-444357
200,0,-393278
400,0,-1122919
400,0,-788168
400,0,-895704
400,0,-733645
800,16,-1541291
800,0,-1578294
800,0,-1675534
800,0,-1652119
1000,0,-2091110
1000,0,-1934208
1000,0,-2229428
1000,0,-2359192
2000,0,-4811598
2000,16,-4739387
2000,0,-4717250
2000,0,-4537267
4000,16,-8722212
4000,0,-9314968
4000,0,-9845767
4000,0,-8681447
8000,15,-17844628
8000,0,-18800966
8000,15,-18741474
8000,0,-18190442
10000,0,-22086729
10000,16,-22338561
10000,0,-22581384
10000,0,-22606313
20000,16,-45978687
20000,0,-45195405
20000,16,-47854708
20000,0,-46420311
40000,16,-92003321
40000,15,-94397064
40000,19,-88783643
40000,15,-93017025
80000,46,-186834082
80000,44,-185997521
80000,47,-182065015
80000,31,-180803872
100000,125,-230698391
100000,63,-230168572
100000,59,-231393935
100000,47,-231011693
