pcb442.tsp;229601.0;300.063;352.0;61979;0.009;22.0;73926;0.035;46.0
berlin52.tsp;18883.0;300.007;150.0;8980;0.0;19.0;10402;0.0;38.0
eil51.tsp;1074.0;409.244;152.0;511;0.0;20.0;605;0.0;42.0
ulysses16.tsp;6859.0;18.535;0.0;9988;0.0;46.0;7788;0.0;14.0
kroD100.tsp;148541.0;300.007;598.0;26947;0.0;27.0;28599;0.001;34.0
gr202.tsp;72655.0;300.009;81.0;49336;0.002;23.0;52615;0.003;31.0
ch150.tsp;48239.0;300.005;639.0;8191;0.001;25.0;9126;0.001;40.0
gr229.tsp;182845.0;300.009;36.0;162430;0.001;21.0;179335;0.002;33.0
d493.tsp;112899.0;300.01;223.0;41665;0.001;19.0;45623;0.009;30.0
dsj1000.tsp;5.52276003E8;300.011;2860.0;24630960;0.006;32.0;25526005;0.035;37.0
kroA100.tsp;172858.0;300.006;712.0;27807;0.0;31.0;30516;0.0;43.0
ulysses22.tsp;8194.0;300.013;17.0;10586;0.0;51.0;8308;0.0;18.0
burma14.tsp;3323.0;1.059;0.0;4048;0.0;22.0;4003;0.0;20.0
